Koncom tohto roka bude na tejto planéte asi miliarda ľudí aktívne používať stránky sociálnych sietí.	By the end of this year , there 'll be nearly a billion people on this planet that actively use social networking sites .
Jediná vec, ktorú majú všetci spoločnú je, že zomrú.	The one thing that all of them have in common is that they 're going to die .
Aj keď to môže byť trochu morbídna myšlienka, myslím, že má vážne dopady, ktoré sa oplatí preskúmať.	While that might be a somewhat morbid thought , I think it has some really profound implications that are worth exploring .
Na túto myšlienku ma prvýkrát priviedol tohtoročný blog od Dereka K. Millera, vedeckého a technologického novinára, ktorý zomrel na rakovinu.	What first got me thinking about this was a blog post authored earlier this year by Derek K. Miller , who was a science and technology journalist who died of cancer .
A Miller zadal svojej rodine a známym, aby napísali príspevok, ktorý bol publikovaný krátko potom ako zomrel.	And what Miller did was have his family and friends write a post that went out shortly after he died .
Toto napísal v úvode.	Here 's what he wrote in starting that out .
"Povedal: ""Tak je to tu. Som mŕtvy a toto je môj posledný príspevok na blogu."	" He said , " " Here it is . I 'm dead , and this is my last post to my blog . "
"Dopredu som požiadal, aby keď sa moje telo konečne zbaví týrania rakovinou, aby moja rodina a priatelia publikovali túto pripravenú správu - ako prvú časť procesu pretvorenia tejto aktívnej stránky na archív."" Ako u novinára, Millerov archív bol asi písaný lepšie a spravovaný pozornejšie ako iné, ale pointa je, že dnes my všetci tvoríme archív, ktorý je niečím úplne iným, ako čokoľvek, čo bolo vytvorené hocktorou predošlou generáciou."	" In advance , I asked that once my body finally shut down from the punishments of my cancer , then my family and friends publish this prepared message I wrote — the first part of the process of turning this from an active website to an archive . " " Now , while as a journalist , Miller 's archive may have been better written and more carefully curated than most , the fact of the matter is that all of us today are creating an archive that 's something completely different than anything that 's been created by any previous generation . "
Zamyslite sa nad pár štatistikami.	Consider a few stats for a moment .
Práve teraz, každú jednu minútu, je 48 hodín videa nahrávaných na YouTube.	Right now there are 48 hours of video being uploaded to YouTube every single minute .
Každý deň pošleme 200 miliónov tweetov.	There are 200 million Tweets being posted every day .
A priemerný užívateľ Facebooku vytvorí 90 kúskov obsahu každý mesiac.	And the average Facebook user is creating 90 pieces of content each month .
Keď pomyslíte na svojich rodičov a starých rodičov, prinajlepšom mohli vytvoriť pár fotiek alebo domácich videí alebo denník, ktorý prežíva niekde v krabici.	So when you think about your parents or your grandparents , at best they may have created some photos or home videos , or a diary that lives in a box somewhere .
Ale dnes, všetci tvoríme tento neuveriteľne bohatý digitálny archív, ktorý prežije v cloude neobmedzene, roky potom, ako budeme preč.	But today we 're all creating this incredibly rich digital archive that 's going to live in the cloud indefinitely , years after we 're gone .
A myslím, že to vytvorí niekoľko veľmi neobvyklých možností pre technológov.	And I think that 's going to create some incredibly intriguing opportunities for technologists .
Pre ujasnenie, ja som novinár, nie technológ, takže by som len zbežne chcel načrtnúť ako bude prítomnosť a budúcnosť vyzerať.	Now to be clear , I 'm a journalist and not a technologist , so what I 'd like to do briefly is paint a picture of what the present and the future are going to look like .
Už teraz vidíme niektoré služby, ktoré nám umožňujú sa rozhodnuť, čo sa stane s našimi online profilmi a kontami sociálnych médii po našej smrti.	Now we 're already seeing some services that are designed to let us decide what happens to our online profile and our social media accounts after we die .
Jedna z nich, celkom príhodne, ma našla, keď som sa checkol do lahôdok v reštaurácii v New Yorku na Foursquare.	One of them actually , fittingly enough , found me when I checked into a deli at a restaurant in New York on foursquare .
(Záznam) Adam Ostrow: Haló.	( Recording ) Adam Ostrow : Hello .
Smrť: Adam?	Death : Adam ?
